Date,Fear Greed
4/6/2017,43
4/7/2017,40
4/10/2017,37
4/11/2017,31
4/12/2017,28
4/13/2017,25
4/17/2017,30
4/18/2017,30
4/19/2017,30
4/20/2017,34
4/21/2017,35
4/24/2017,39
4/25/2017,46
4/26/2017,48
4/27/2017,50
4/28/2017,50
5/1/2017,49
5/2/2017,51
5/3/2017,47
5/4/2017,45
5/5/2017,47
5/8/2017,49
5/9/2017,50
5/10/2017,61
5/11/2017,63
5/12/2017,62
5/15/2017,64
5/16/2017,66
5/17/2017,45
5/18/2017,43
5/19/2017,49
5/22/2017,50
5/23/2017,45
5/24/2017,54
5/25/2017,57
5/26/2017,58
5/30/2017,53
5/31/2017,50
6/1/2017,58
6/2/2017,57
6/5/2017,58
6/6/2017,55
6/7/2017,55
6/8/2017,55
6/9/2017,54
6/12/2017,55
6/13/2017,55
6/14/2017,52
6/15/2017,52
6/16/2017,50
6/19/2017,57
6/20/2017,48
6/21/2017,42
6/22/2017,50
6/23/2017,52
6/26/2017,53
6/27/2017,48
6/28/2017,60
6/29/2017,47
6/30/2017,49
7/3/2017,54
7/5/2017,57
7/6/2017,44
7/7/2017,49
7/10/2017,46
7/11/2017,41
7/12/2017,47
7/13/2017,54
7/14/2017,64
7/17/2017,67
7/18/2017,62
7/19/2017,74
7/20/2017,76
7/21/2017,73
7/24/2017,72
7/25/2017,81
7/26/2017,78
7/27/2017,73
7/28/2017,70
7/31/2017,70
8/1/2017,65
8/2/2017,67
8/3/2017,59
8/4/2017,64
8/7/2017,63
8/8/2017,61
8/9/2017,54
8/10/2017,31
8/11/2017,28
8/14/2017,39
8/15/2017,36
8/16/2017,34
8/17/2017,19
8/18/2017,17
8/21/2017,15
8/22/2017,23
8/23/2017,19
8/24/2017,22
8/25/2017,27
8/28/2017,29
8/29/2017,28
8/30/2017,35
8/31/2017,43
9/1/2017,50
9/5/2017,35
9/6/2017,41
9/7/2017,38
9/8/2017,38
9/11/2017,53
9/12/2017,63
9/13/2017,68
9/14/2017,68
9/15/2017,77
9/18/2017,80
9/19/2017,81
9/20/2017,79
