Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,126.70999908447266,127.5999984741211,125.69999694824219,127.05000305175781,99.59558868408203,138725200
2011-01-04,127.33000183105469,127.37000274658203,126.19000244140625,126.9800033569336,99.54069519042969,137409700
2011-01-05,126.58000183105469,127.72000122070312,126.45999908447266,127.63999938964844,100.05811309814453,133975300
2011-01-06,127.69000244140625,127.83000183105469,127.01000213623047,127.38999938964844,99.8621597290039,122519000
2011-01-07,127.55999755859375,127.7699966430664,126.1500015258789,127.13999938964844,99.66615295410156,156034600
2011-01-10,126.58000183105469,127.16000366210938,126.19999694824219,126.9800033569336,99.54069519042969,122401700
2011-01-11,127.44000244140625,127.73999786376953,126.94999694824219,127.43000030517578,99.89350128173828,110287000
2011-01-12,128.2100067138672,128.72000122070312,127.45999908447266,128.5800018310547,100.79498291015625,107929200
2011-01-13,128.6300048828125,128.69000244140625,128.0500030517578,128.3699951171875,100.63034057617188,129048400
2011-01-14,128.19000244140625,129.3300018310547,128.10000610351562,129.3000030517578,101.35940551757812,117677900
2011-01-18,129.17999267578125,129.63999938964844,129.02999877929688,129.52000427246094,101.53184509277344,114401300
2011-01-19,129.41000366210938,129.5399932861328,127.91000366210938,128.25,100.53629302978516,151958400
2011-01-20,127.95999908447266,128.39999389648438,127.12999725341797,128.0800018310547,100.40301513671875,175745700
2011-01-21,128.8800048828125,129.1699981689453,128.22999572753906,128.3699951171875,100.63034057617188,151462900
2011-01-24,128.2899932861328,129.25,128.25999450683594,129.10000610351562,101.20262908935547,113715500
2011-01-25,128.75999450683594,129.27999877929688,128.11000061035156,129.1699981689453,101.25748443603516,167552200
2011-01-26,129.49000549316406,130.0500030517578,129.22999572753906,129.6699981689453,101.64942932128906,141281500
2011-01-27,129.6999969482422,130.2100067138672,129.47000122070312,129.99000549316406,101.9002685546875,123302700
2011-01-28,130.13999938964844,130.35000610351562,127.51000213623047,127.72000122070312,100.12080383300781,295637300
2011-01-31,128.07000732421875,128.77999877929688,127.75,128.67999267578125,100.8733901977539,149249200
2011-02-01,129.4600067138672,130.97000122070312,129.3800048828125,130.74000549316406,102.48822784423828,167194300
2011-02-02,130.39999389648438,130.83999633789062,130.3300018310547,130.49000549316406,102.29224395751953,118323600
2011-02-03,130.25999450683594,130.97999572753906,129.57000732421875,130.77999877929688,102.51956939697266,145886700
2011-02-04,130.8300018310547,131.1999969482422,130.22999572753906,131.14999389648438,102.80958557128906,134634800
2011-02-07,131.44000244140625,132.39999389648438,131.42999267578125,131.97000122070312,103.4524154663086,112439100
2011-02-08,132.08999633789062,132.63999938964844,131.72999572753906,132.57000732421875,103.92278289794922,99072800
2011-02-09,132.2100067138672,132.6300048828125,131.61000061035156,132.27000427246094,103.68760681152344,146436700
2011-02-10,131.60000610351562,132.47000122070312,131.3000030517578,132.32000732421875,103.7268295288086,162708500
2011-02-11,131.8000030517578,133.27999877929688,131.77000427246094,133.11000061035156,104.34611511230469,137710300
2011-02-14,133.02999877929688,133.5399932861328,132.8800048828125,133.42999267578125,104.59693145751953,101690700
2011-02-15,133.02000427246094,133.22000122070312,132.32000732421875,133.00999450683594,104.26770782470703,119575400
2011-02-16,133.4600067138672,134.00999450683594,133.19000244140625,133.85000610351562,104.9261703491211,130183500
2011-02-17,133.4600067138672,134.42999267578125,133.33999633789062,134.25,105.23973083496094,109810500
2011-02-18,134.3699951171875,134.69000244140625,134.05999755859375,134.52999877929688,105.459228515625,130002400
2011-02-22,133.1199951171875,134.55999755859375,131.47000122070312,131.8300018310547,103.34265899658203,233116400
2011-02-23,131.75,132.07000732421875,130.2100067138672,131.02000427246094,102.70771789550781,227584000
2011-02-24,130.8800048828125,131.44000244140625,129.6999969482422,130.92999267578125,102.63716125488281,260431400
2011-02-25,131.47999572753906,132.41000366210938,131.39999389648438,132.3300018310547,103.73461151123047,141686900
2011-02-28,132.82000732421875,133.32000732421875,132.3800048828125,133.14999389648438,104.37743377685547,141585500
2011-03-01,133.57000732421875,133.69000244140625,130.88999938964844,130.92999267578125,102.63716125488281,258565500
2011-03-02,130.75,131.82000732421875,130.35000610351562,131.2100067138672,102.85665893554688,200277400
2011-03-03,132.39999389648438,133.6199951171875,132.38999938964844,133.47000122070312,104.62831115722656,176480100
2011-03-04,133.3699951171875,133.6300048828125,131.60000610351562,132.47000122070312,103.8443832397461,277202300
2011-03-07,132.86000061035156,133.16000366210938,130.74000549316406,131.42999267578125,103.02914428710938,216790400
2011-03-08,131.63999938964844,133.0,131.07000732421875,132.5800018310547,103.93061828613281,174615000
2011-03-09,132.32000732421875,132.8000030517578,131.60000610351562,132.38999938964844,103.78167724609375,153806000
2011-03-10,131.0,131.17999267578125,129.80999755859375,129.94000244140625,101.86109161376953,301291800
2011-03-11,129.52000427246094,131.30999755859375,129.49000549316406,130.83999633789062,102.56660461425781,225621800
2011-03-14,129.99000549316406,130.47999572753906,129.05999755859375,130.0500030517578,101.94731140136719,234974100
2011-03-15,126.58999633789062,129.3300018310547,126.5,128.55999755859375,100.779296875,359585400
2011-03-16,128.14999389648438,128.57000732421875,125.27999877929688,126.18000030517578,98.91356658935547,468670300
2011-03-17,128.0,128.38999938964844,127.0999984741211,127.8499984741211,100.22270965576172,254303700
2011-03-18,128.83999633789062,128.8800048828125,127.51000213623047,127.76000213623047,100.58724975585938,230435400
2011-03-21,129.35000610351562,130.00999450683594,129.1999969482422,129.74000549316406,102.14612579345703,153992600
2011-03-22,129.72000122070312,129.88999938964844,129.1699981689453,129.2899932861328,101.79180908203125,129538600
2011-03-23,128.92999267578125,130.0,128.32000732421875,129.66000366210938,102.08313751220703,148603100
2011-03-24,130.39999389648438,131.08999633789062,129.6699981689453,130.89999389648438,103.0594253540039,159129800
2011-03-25,131.24000549316406,131.8699951171875,130.88999938964844,131.3000030517578,103.37435150146484,155642800
2011-03-28,131.5800018310547,131.9199981689453,130.94000244140625,130.97999572753906,103.12240600585938,109762400
2011-03-29,130.8699951171875,131.89999389648438,130.44000244140625,131.86000061035156,103.81523132324219,129798800
